user,location,tweet
CesarAu00542001,,"RT @AlcaldiaTunja: Hoy aplaudimos a todos nuestros ""amarillitos"" que también son #HéroesEnLaVía. Gracias por ser ese soporte necesario para…"
94Regimen,medellin-antioquia-colombia,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
mariago88820364,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
Alexand79839813,,"RT @mariapcorrea: Esta noche, la torre Colpatria se ilumina con los colores de nuestra bandera y hace homenaje a los #HéroesQueNoSeDetienen…"
DDiegoeco,,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
jorgehatehortua,"Apartadó, Antioquia",RT @AVA_antioquia: Un agradecimiento muy especial en todo el país a nuestros #HeroesEnLaVia siempre construyendo país y atentos a toda cala…
ANI_Colombia,Colombia,👏Celebra la importante labor de nuestros camioneros 🚚 con un mensaje de agradecimiento con la etiqueta… https://t.co/9vpJ0dtXwZ
jorgehatehortua,"Apartadó, Antioquia",RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
erick_prieto,Bogota,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
ASOPROVOLCO1,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
iner12127,,"RT @CARLOSFMEJIA: La Torre Colpatria le hace un magnífico homenaje con los colores de nuestra bandera, a los #HeroesEnLaVía, transportadore…"
ASOPROVOLCO1,,RT @AVA_antioquia: Un agradecimiento muy especial en todo el país a nuestros #HeroesEnLaVia siempre construyendo país y atentos a toda cala…
NIPR18,,RT @AVA_antioquia: Las VOLQUETAS también somos #HeroesEnLaVia  en la realización de vías y luego en su mantenimiento atentos a toda urgenci…
javierdelacruzl,,"RT @orozco_angela: Con los colores de nuestra bandera, y orgullosos de su compromiso y labor, hoy toda Colombia reconoce el trabajo incansa…"
manuelfsl,,"RT @lunathaupn: Ya que se cancelaron la mayoría de los servicios médicos por cuarentena, que pasa con los recursos que siguen recibiendo la…"
Fedetranscol,Yumbo - Colombia,"RT @orozco_angela: Agradezco a todos nuestros #HéroesEnLaVía, transportadores, operarios de vías, médicos y todos los que están trabajando…"
