user,location,tweet,sentiment,probability
JuanStillAlive,M A R S,"#PicoYCedula + #PicoyGenero.

Porqué más bien no nos fumigan con #Glifosato. https://t.co/JPvQHABlVn",Positivo,78
alvarogalvisbec,"Floridablanca, Colombia","Bancos deben cobrar obligaciones con fecha de #PicoyPlaca #PicoyGenero 
de #Clientes
@SFCsupervisor @Davivienda… https://t.co/2XKTaLUeZY",Positivo,62
LaPosta_Ecu,Ecuador,"En varios países se han creado restricciones de movilidad durante la emergencia sanitaria, por ejemplo en Colombia… https://t.co/ZikCfOJIY8",Positivo,64
vale_olarte,"Bogotá, D.C., Colombia",@ClaudiaLopez La verdad eso del #PicoyGenero es una bobada. Es ilógico que solo hombres un día y solo mujeres al ot… https://t.co/WnIclskp6v,Positivo,55
PosLaVerda,Colombia,🔴 PODCAST EN DIRECTO: #PosLaVerdaEnCuarentena 14 Abril de 2020 en @Spreaker #corferias #otrareformatributariaes… https://t.co/1lFWKnEMWs,Positivo,74
andresFranco83,"bogota, colombia","Mi deporte favorito ahora es gritarle al matriarcado por la ventana ""hoy es dia de patriarcado pa la casaa "" y vice… https://t.co/FAQ9rcPIiF",Positivo,82
DoorTheme,"Medellín, Colombia","#UribistaSigueUribista . A propósito del #PicoyGenero de  @ClaudiaLopez ,el #PicoYGeneroEs un abono para el increme… https://t.co/5xfHnk8ZX6",Positivo,67
Saris0,Madrid,"Algunas ideas en modo de pregunta:

1 ¿No puede ponerse un sistema de salidas por franjas horarias según el número… https://t.co/GhY6JFP8M1",Positivo,54
A_alarconlaura,"Colombia/ Bogotá, D.C.",Mood: sol y frío + dos pacas enormes reutilizables para hacer mercado. #PicoyGenero https://t.co/LbIIe7XKSi,Positivo,64
GregorioACHURY,"Cauca, Colombia",Algunos gobiernos convirtieron el #Covid_19 en un show. #COVID2019 #1x1 #PicoYCedula #PicoYGenero… https://t.co/Ny3wcFap5d,Positivo,63
